scenario,rank,Fe_at%,Ni_at%,Co_at%,Cr_at%,Mn_at%,Cu_at%,Mo_at%,Si_at%,Al_at%,V_at%,Tc_C,Hc_A_m,Br_T,sigma_y_MPa,Tc_std_C,delta_M_T,kappa_WmK,M_at_low_T,M_at_high_T,fitness
中溫廢熱_350C,1,83.08,0.2,0.22,16.3,0.0,0.0,0.04,0.0,0.0,0.16,378.8,241.41,0.772,475.0,0.0,0.2318,82.3,0.2318,0.0,0.3605
中溫廢熱_350C,2,81.91,0.19,0.28,12.27,5.1,0.14,0.06,0.0,0.0,0.04,379.4,235.67,0.767,453.0,0.0,0.2315,78.6,0.2315,0.0,0.3543
中溫廢熱_350C,3,81.89,0.0,0.21,12.29,4.67,0.08,0.34,0.0,0.0,0.52,379.2,237.74,0.766,458.0,0.0,0.2307,78.6,0.2307,0.0,0.3531
中溫廢熱_350C,4,70.62,0.02,0.22,10.5,4.08,0.55,0.42,0.57,4.97,8.05,377.8,236.17,0.765,455.0,0.0,0.228,79.7,0.228,0.0,0.3528
中溫廢熱_350C,5,82.0,0.01,0.06,12.31,4.87,0.41,0.28,0.0,0.0,0.06,379.1,237.41,0.765,459.0,0.0,0.2304,78.6,0.2304,0.0,0.3525
中溫廢熱_350C,6,77.69,1.51,0.24,11.5,3.26,0.27,0.02,0.0,0.45,5.07,378.2,238.79,0.765,459.0,0.0,0.2287,79.6,0.2287,0.0,0.3522
中溫廢熱_350C,7,73.59,1.43,0.08,15.02,3.89,3.93,0.57,1.28,0.2,0.02,379.2,237.42,0.765,458.0,0.0,0.2304,79.0,0.2304,0.0,0.3517
中溫廢熱_350C,8,82.13,0.01,0.0,12.33,4.59,0.05,0.42,0.0,0.0,0.47,377.4,235.42,0.763,456.0,0.0,0.2268,79.3,0.2268,0.0,0.3512
中溫廢熱_350C,9,74.31,5.95,0.1,11.1,4.14,0.09,3.37,0.8,0.13,0.0,377.2,235.99,0.763,459.0,0.0,0.2263,79.3,0.2263,0.0,0.3511
中溫廢熱_350C,10,81.92,0.0,0.0,12.38,4.57,0.22,0.85,0.0,0.0,0.05,377.5,235.25,0.763,456.0,0.0,0.2269,79.5,0.2269,0.0,0.351
