scenario,rank,Fe_at%,Ni_at%,Co_at%,Cr_at%,Mn_at%,Cu_at%,Mo_at%,Si_at%,Al_at%,V_at%,Tc_C,Hc_A_m,Br_T,sigma_y_MPa,Tc_std_C,delta_M_T,kappa_WmK,M_at_low_T,M_at_high_T,fitness
中溫廢熱_350C,1,76.64,0.73,0.57,13.24,0.48,7.56,0.47,0.0,0.0,0.3,360.5,218.63,0.707,436.0,0.0,0.1786,106.1,0.1786,0.0,0.6986
中溫廢熱_350C,2,80.13,0.51,0.0,14.78,1.32,1.49,0.61,0.16,0.55,0.45,359.5,229.88,0.729,459.0,0.0,0.1822,87.1,0.1822,0.0,0.6985
中溫廢熱_350C,3,76.12,0.0,0.85,11.6,2.22,7.35,0.78,0.0,0.0,1.07,361.0,220.76,0.705,437.0,0.0,0.1792,103.7,0.1792,0.0,0.6978
中溫廢熱_350C,4,74.2,0.0,1.97,12.21,0.73,9.66,0.18,0.0,0.0,1.04,359.3,215.8,0.692,425.0,0.0,0.1725,112.2,0.1725,0.0,0.6973
中溫廢熱_350C,5,73.01,0.29,3.36,13.23,1.04,7.53,0.29,0.0,0.82,0.43,360.2,210.75,0.682,431.0,0.0,0.1719,107.2,0.1719,0.0,0.6971
中溫廢熱_350C,6,71.44,0.0,4.04,11.56,0.0,5.45,1.09,6.33,0.07,0.01,361.1,214.62,0.683,451.0,0.0,0.1739,105.0,0.1739,0.0,0.6971
中溫廢熱_350C,7,73.28,1.25,2.51,12.62,0.91,7.17,0.31,0.83,0.26,0.86,360.2,210.34,0.682,428.0,0.0,0.1719,105.5,0.1719,0.0,0.697
中溫廢熱_350C,8,76.41,0.52,0.0,11.78,0.0,5.46,0.59,4.48,0.0,0.75,363.2,214.88,0.693,471.0,0.0,0.1805,102.3,0.1805,0.0,0.697
中溫廢熱_350C,9,75.29,2.14,0.68,11.96,0.65,0.27,0.24,7.91,0.0,0.86,361.0,214.29,0.693,498.0,0.0,0.1761,87.6,0.1761,0.0,0.6969
中溫廢熱_350C,10,64.98,3.27,9.88,16.08,0.17,4.95,0.05,0.0,0.0,0.63,361.9,188.45,0.672,447.0,0.0,0.1727,100.1,0.1727,0.0,0.6969
