b_gap,plate_mm,wheel_od_mm,eps,f_Hz,rpm,eta_pct,P_total_W,m_total_kg,cost_usd,P_per_usd,P_per_kg,E_spin_J,magnet,magnet_kg,pareto
0.8,0.2,200,0.6,33.8338587622349,1015.0157628670469,0.08496897903198503,1580.7178813716148,8.320970536197342,224.82534353998824,7.030870525904312,189.96797002167946,225.70560674029326,SmCo Sm2Co17,0.33,0
0.8,0.2,200,0.75,33.8338587622349,1015.0157628670469,0.1204959847618377,1580.7178813716148,8.320970536197342,224.82534353998824,7.030870525904312,189.96797002167946,225.70560674029326,SmCo Sm2Co17,0.33,0
0.8,0.2,200,0.85,33.8338587622349,1015.0157628670469,0.16706431133312835,1580.7178813716148,8.320970536197342,224.82534353998824,7.030870525904312,189.96797002167946,225.70560674029326,SmCo Sm2Co17,0.33,0
0.8,0.2,200,0.95,33.8338587622349,1015.0157628670469,0.27230104679844425,1580.7178813716148,8.320970536197342,224.82534353998824,7.030870525904312,189.96797002167946,225.70560674029326,SmCo Sm2Co17,0.33,1
0.8,0.2,280,0.6,33.8338587622349,1015.0157628670469,0.08496897903198503,3951.794703429037,18.612571368384682,466.0087939336445,8.48008611612539,212.3185789439903,985.0031197138225,SmCo Sm2Co17,0.82,0
0.8,0.2,280,0.75,33.8338587622349,1015.0157628670469,0.1204959847618377,3951.794703429037,18.612571368384682,466.0087939336445,8.48008611612539,212.3185789439903,985.0031197138225,SmCo Sm2Co17,0.82,0
0.8,0.2,280,0.85,33.8338587622349,1015.0157628670469,0.16706431133312835,3951.794703429037,18.612571368384682,466.0087939336445,8.48008611612539,212.3185789439903,985.0031197138225,SmCo Sm2Co17,0.82,0
0.8,0.2,280,0.95,33.8338587622349,1015.0157628670469,0.27230104679844425,3951.794703429037,18.612571368384682,466.0087939336445,8.48008611612539,212.3185789439903,985.0031197138225,SmCo Sm2Co17,0.82,1
0.8,0.2,360,0.6,33.8338587622349,1015.0157628670469,0.08496897903198503,7113.230466172264,32.3313724779678,786.9200611251861,9.03933044482477,220.01016106011497,2824.2495263495334,SmCo Sm2Co17,1.47,0
0.8,0.2,360,0.75,33.8338587622349,1015.0157628670469,0.1204959847618377,7113.230466172264,32.3313724779678,786.9200611251861,9.03933044482477,220.01016106011497,2824.2495263495334,SmCo Sm2Co17,1.47,0
0.8,0.2,360,0.85,33.8338587622349,1015.0157628670469,0.16706431133312835,7113.230466172264,32.3313724779678,786.9200611251861,9.03933044482477,220.01016106011497,2824.2495263495334,SmCo Sm2Co17,1.47,0
0.8,0.2,360,0.95,33.8338587622349,1015.0157628670469,0.27230104679844425,7113.230466172264,32.3313724779678,786.9200611251861,9.03933044482477,220.01016106011497,2824.2495263495334,SmCo Sm2Co17,1.47,1
0.8,0.2,440,0.6,33.8338587622349,1015.0157628670469,0.08496897903198503,11065.0251696013,49.4773738649467,1188.5591451146133,9.309612580141557,223.63808555814546,6452.1731603654325,SmCo Sm2Co17,2.28,0
0.8,0.2,440,0.75,33.8338587622349,1015.0157628670469,0.1204959847618377,11065.0251696013,49.4773738649467,1188.5591451146133,9.309612580141557,223.63808555814546,6452.1731603654325,SmCo Sm2Co17,2.28,0
0.8,0.2,440,0.85,33.8338587622349,1015.0157628670469,0.16706431133312835,11065.0251696013,49.4773738649467,1188.5591451146133,9.309612580141557,223.63808555814546,6452.1731603654325,SmCo Sm2Co17,2.28,0
0.8,0.2,440,0.95,33.8338587622349,1015.0157628670469,0.27230104679844425,11065.0251696013,49.4773738649467,1188.5591451146133,9.309612580141557,223.63808555814546,6452.1731603654325,SmCo Sm2Co17,2.28,0
0.8,0.3,200,0.6,24.095555091817932,722.866652754538,0.08496897903198503,1125.744333889734,8.320970536197342,224.82534353998824,5.007194990405987,135.29002764672637,114.47565963362912,SmCo Sm2Co17,0.33,0
0.8,0.3,200,0.75,24.095555091817932,722.866652754538,0.1204959847618377,1125.744333889734,8.320970536197342,224.82534353998824,5.007194990405987,135.29002764672637,114.47565963362912,SmCo Sm2Co17,0.33,0
0.8,0.3,200,0.85,24.095555091817932,722.866652754538,0.16706431133312835,1125.744333889734,8.320970536197342,224.82534353998824,5.007194990405987,135.29002764672637,114.47565963362912,SmCo Sm2Co17,0.33,0
0.8,0.3,200,0.95,24.095555091817932,722.866652754538,0.27230104679844425,1125.744333889734,8.320970536197342,224.82534353998824,5.007194990405987,135.29002764672637,114.47565963362912,SmCo Sm2Co17,0.33,0
0.8,0.3,280,0.6,24.095555091817932,722.866652754538,0.08496897903198503,2814.3608347243353,18.612571368384682,466.0087939336445,6.03928696488306,151.20752415245587,499.58387608938614,SmCo Sm2Co17,0.82,0
0.8,0.3,280,0.75,24.095555091817932,722.866652754538,0.1204959847618377,2814.3608347243353,18.612571368384682,466.0087939336445,6.03928696488306,151.20752415245587,499.58387608938614,SmCo Sm2Co17,0.82,0
0.8,0.3,280,0.85,24.095555091817932,722.866652754538,0.16706431133312835,2814.3608347243353,18.612571368384682,466.0087939336445,6.03928696488306,151.20752415245587,499.58387608938614,SmCo Sm2Co17,0.82,0
0.8,0.3,280,0.95,24.095555091817932,722.866652754538,0.27230104679844425,2814.3608347243353,18.612571368384682,466.0087939336445,6.03928696488306,151.20752415245587,499.58387608938614,SmCo Sm2Co17,0.82,0
