scenario,rank,Fe_at%,Ni_at%,Co_at%,Cr_at%,Mn_at%,Cu_at%,Mo_at%,Si_at%,Al_at%,V_at%,Tc_C,Hc_A_m,Br_T,sigma_y_MPa,Tc_std_C,delta_M_T,kappa_WmK,M_at_low_T,M_at_high_T,fitness
中溫廢熱_350C,1,73.91,0.0,3.1,13.44,0.0,5.88,0.37,2.87,0.0,0.43,361.9,208.85,0.69,465.0,0.0,0.1772,103.3,0.1772,0.0,0.6981
中溫廢熱_350C,2,78.11,1.11,0.0,13.45,1.46,4.69,0.27,0.0,0.0,0.9,358.1,222.35,0.721,450.0,0.0,0.1771,95.7,0.1771,0.0,0.6973
中溫廢熱_350C,3,74.75,2.88,0.24,11.7,0.32,5.02,0.54,4.15,0.06,0.34,361.8,213.79,0.689,439.0,0.0,0.1767,101.0,0.1767,0.0,0.697
中溫廢熱_350C,4,74.04,3.01,0.66,12.16,1.49,7.04,0.37,0.0,0.81,0.4,360.7,207.75,0.68,427.0,0.0,0.1722,105.0,0.1722,0.0,0.6968
中溫廢熱_350C,5,73.03,1.93,0.65,9.24,0.0,5.25,0.07,9.36,0.29,0.17,362.0,215.93,0.679,447.0,0.0,0.1746,105.4,0.1746,0.0,0.6965
中溫廢熱_350C,6,74.35,2.34,0.0,11.52,0.97,8.32,0.76,0.0,1.73,0.0,361.0,211.79,0.673,425.0,0.0,0.1711,111.0,0.1711,0.0,0.6964
中溫廢熱_350C,7,63.23,0.88,9.71,11.93,0.0,6.82,0.46,6.21,0.0,0.77,361.6,186.03,0.642,464.0,0.0,0.1644,109.8,0.1644,0.0,0.6963
中溫廢熱_350C,8,69.21,4.61,2.65,10.69,0.0,3.66,0.89,8.28,0.0,0.0,360.1,193.84,0.66,480.0,0.0,0.166,100.5,0.166,0.0,0.6963
中溫廢熱_350C,9,64.2,0.0,9.65,12.0,0.0,7.26,0.08,5.93,0.47,0.42,360.6,198.25,0.655,438.0,0.0,0.1659,111.6,0.1659,0.0,0.6962
中溫廢熱_350C,10,61.31,2.86,9.6,10.89,0.0,6.25,0.49,8.59,0.0,0.0,361.5,178.94,0.632,465.0,0.0,0.1614,110.0,0.1614,0.0,0.6962
