scenario,rank,Fe_at%,Ni_at%,Co_at%,Cr_at%,Mn_at%,Cu_at%,Mo_at%,Si_at%,Al_at%,V_at%,Tc_C,Hc_A_m,Br_T,sigma_y_MPa,Tc_std_C,delta_M_T,kappa_WmK,M_at_low_T,M_at_high_T,fitness
中溫廢熱_350C,1,82.04,0.0,0.06,12.21,4.94,0.29,0.14,0.0,0.0,0.31,377.5,237.29,0.767,455.0,0.0,0.228,79.0,0.228,0.0,0.1995
中溫廢熱_350C,2,82.25,0.03,0.0,12.68,4.41,0.27,0.23,0.0,0.0,0.14,377.6,236.93,0.767,457.0,0.0,0.2281,79.5,0.2281,0.0,0.1995
中溫廢熱_350C,3,81.94,0.0,0.13,12.11,5.05,0.26,0.04,0.0,0.0,0.47,377.2,237.07,0.767,455.0,0.0,0.2273,78.7,0.2273,0.0,0.1994
中溫廢熱_350C,4,81.84,0.0,0.26,12.49,4.69,0.13,0.23,0.0,0.0,0.36,376.6,237.26,0.766,458.0,0.0,0.2262,78.8,0.2262,0.0,0.1991
中溫廢熱_350C,5,81.93,0.0,0.21,12.49,4.51,0.48,0.21,0.0,0.0,0.16,379.4,237.01,0.766,455.0,0.0,0.2312,80.1,0.2312,0.0,0.1988
中溫廢熱_350C,6,81.92,0.0,0.0,12.17,4.97,0.38,0.54,0.0,0.0,0.02,377.2,238.08,0.766,455.0,0.0,0.2271,79.6,0.2271,0.0,0.1987
中溫廢熱_350C,7,81.87,0.0,0.23,12.11,5.05,0.23,0.34,0.0,0.0,0.18,379.7,237.2,0.766,455.0,0.0,0.2318,78.9,0.2318,0.0,0.1986
中溫廢熱_350C,8,81.88,0.0,0.06,12.23,4.78,0.47,0.35,0.0,0.0,0.24,378.0,237.01,0.765,455.0,0.0,0.2283,79.9,0.2283,0.0,0.1982
中溫廢熱_350C,9,82.28,0.0,0.36,15.43,0.0,0.63,0.91,0.0,0.0,0.39,379.1,241.65,0.764,477.0,0.0,0.23,84.6,0.23,0.0,0.1977
中溫廢熱_350C,10,81.18,0.0,0.81,12.54,4.76,0.34,0.35,0.0,0.0,0.03,378.9,235.59,0.764,455.0,0.0,0.2295,79.8,0.2295,0.0,0.1975
