scenario,rank,Fe_at%,Ni_at%,Co_at%,Cr_at%,Mn_at%,Cu_at%,Mo_at%,Si_at%,Al_at%,V_at%,Tc_C,Hc_A_m,Br_T,sigma_y_MPa,Tc_std_C,delta_M_T,kappa_WmK,M_at_low_T,M_at_high_T,fitness
中溫廢熱_350C,1,80.79,1.01,0.16,13.86,3.88,0.27,0.03,0.0,0.0,0.0,365.5,238.08,0.755,459.0,0.0,0.2015,80.2,0.2015,0.0,0.6952
中溫廢熱_350C,2,80.2,0.4,0.83,12.82,4.82,0.04,0.34,0.0,0.0,0.55,365.8,232.07,0.754,462.0,0.0,0.2018,78.6,0.2018,0.0,0.6948
中溫廢熱_350C,3,80.46,0.15,0.4,12.67,4.66,0.71,0.55,0.0,0.0,0.4,365.2,232.47,0.751,460.0,0.0,0.1998,80.9,0.1998,0.0,0.6945
中溫廢熱_350C,4,80.95,0.31,0.17,12.39,5.13,0.55,0.08,0.0,0.0,0.43,366.2,232.73,0.756,456.0,0.0,0.2032,79.7,0.2032,0.0,0.6943
中溫廢熱_350C,5,80.48,0.72,0.05,13.15,3.73,0.64,0.69,0.0,0.0,0.53,365.4,231.89,0.749,464.0,0.0,0.1998,81.4,0.1998,0.0,0.6938
中溫廢熱_350C,6,81.1,0.0,0.13,12.64,4.5,0.14,0.26,0.85,0.15,0.22,366.3,233.52,0.744,451.0,0.0,0.2003,79.9,0.2003,0.0,0.6933
中溫廢熱_350C,7,80.09,0.54,0.37,12.92,3.98,0.5,0.96,0.0,0.0,0.64,366.4,231.98,0.747,466.0,0.0,0.2012,80.9,0.2012,0.0,0.6932
中溫廢熱_350C,8,80.03,0.39,0.65,13.19,4.59,0.74,0.4,0.0,0.0,0.0,365.4,237.55,0.749,457.0,0.0,0.1997,81.3,0.1997,0.0,0.6929
中溫廢熱_350C,9,80.61,0.38,0.0,12.14,4.98,0.34,0.85,0.0,0.0,0.71,366.6,233.25,0.75,463.0,0.0,0.2024,79.4,0.2024,0.0,0.6928
中溫廢熱_350C,10,79.95,0.22,0.39,11.38,5.9,0.08,0.97,0.0,0.0,1.11,366.3,232.66,0.747,464.0,0.0,0.201,77.7,0.201,0.0,0.6928
