scenario,rank,Fe_at%,Ni_at%,Co_at%,Cr_at%,Mn_at%,Cu_at%,Mo_at%,Si_at%,Al_at%,V_at%,Tc_C,Hc_A_m,Br_T,sigma_y_MPa,Tc_std_C,delta_M_T,kappa_WmK,M_at_low_T,M_at_high_T,fitness
中溫廢熱_350C,1,82.03,0.0,0.0,12.44,4.5,0.08,0.33,0.0,0.0,0.62,376.0,238.9,0.767,460.0,0.0,0.2253,78.6,0.2253,0.0,0.51
中溫廢熱_350C,2,82.09,0.07,0.02,12.31,4.78,0.1,0.29,0.0,0.0,0.34,378.2,236.85,0.766,457.0,0.0,0.2289,78.6,0.2289,0.0,0.5089
中溫廢熱_350C,3,81.86,0.0,0.16,12.3,4.89,0.04,0.31,0.0,0.0,0.45,376.2,237.49,0.766,458.0,0.0,0.2253,78.3,0.2253,0.0,0.5086
中溫廢熱_350C,4,81.98,0.15,0.03,12.19,5.07,0.21,0.36,0.0,0.0,0.0,378.2,236.08,0.765,455.0,0.0,0.2288,78.9,0.2288,0.0,0.5079
中溫廢熱_350C,5,82.12,0.05,0.02,12.29,4.7,0.39,0.22,0.0,0.0,0.22,379.7,236.51,0.766,455.0,0.0,0.2316,79.6,0.2316,0.0,0.5077
中溫廢熱_350C,6,79.03,0.38,0.25,11.86,3.87,2.08,1.41,0.68,0.17,0.28,379.8,236.72,0.766,458.0,0.0,0.2317,78.7,0.2317,0.0,0.5074
中溫廢熱_350C,7,82.02,0.2,0.09,12.47,4.5,0.03,0.34,0.0,0.0,0.35,378.0,242.58,0.765,456.0,0.0,0.2283,78.8,0.2283,0.0,0.5073
中溫廢熱_350C,8,81.96,0.22,0.12,12.96,4.55,0.06,0.12,0.0,0.0,0.0,379.3,236.75,0.765,455.0,0.0,0.2306,80.2,0.2306,0.0,0.5067
中溫廢熱_350C,9,81.81,0.0,0.16,12.27,4.49,0.59,0.08,0.0,0.0,0.6,376.8,235.87,0.764,457.0,0.0,0.2258,78.5,0.2258,0.0,0.506
中溫廢熱_350C,10,81.71,0.14,0.21,12.26,5.12,0.04,0.5,0.0,0.0,0.01,377.5,235.03,0.763,457.0,0.0,0.2268,79.9,0.2268,0.0,0.5056
